Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lancaster,08/08/2020,67,39.3,5940,545724,12.3,7.2,1088.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Washington,02/28/2021,24,28.3,13751,206865,11.6,13.7,6647.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Bradford,12/28/2020,25,27.6,3071,60323,41.4,45.7,5090.9,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Chester,02/17/2021,126,114,29626,524989,24,21.7,5643.2,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lancaster,08/05/2020,30,38.4,5769,545724,5.5,7,1057.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Allegheny,10/08/2020,96,84,13129,1216045,7.9,6.9,1079.6,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Cameron,04/02/2021,0,0.7,279,4447,0,16.1,6273.9,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Cambria,12/07/2020,175,198.7,6156,130192,134.4,152.6,4728.4,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Allegheny,09/22/2020,52,63.9,11884,1216045,4.3,5.3,977.3,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Lancaster,02/17/2021,215,187.6,42426,545724,39.4,34.4,7774.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Jefferson,04/21/2021,3,5.9,3169,43425,6.9,13.5,7297.6,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Mercer,05/18/2020,2,2.7,98,109424,1.8,2.5,89.6,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Luzerne,03/17/2021,70,63.4,25971,317417,22.1,20,8182,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Berks,11/26/2020,165,185.4,13540,421164,39.2,44,3214.9,42011,-75.93077327,40.41939635,POINT (-75.93077327 40.41939635)
Schuylkill,08/29/2020,2,2.7,1011,141359,1.4,1.9,715.2,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Westmoreland,11/17/2020,225,174,6698,348899,64.5,49.9,1919.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lebanon,05/30/2020,11,8.4,975,141793,7.8,5.9,687.6,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Cambria,07/30/2020,12,6.3,265,130192,9.2,4.8,203.5,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Philadelphia,04/16/2021,653,661.1,135805,1584064,41.2,41.7,8573.2,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Northumberland,02/18/2021,11,32.9,7933,90843,12.1,36.2,8732.6,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Juniata,03/26/2021,5,2.6,1901,24763,20.2,10.4,7676.8,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Chester,04/29/2021,160,128.7,39109,524989,30.5,24.5,7449.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Fulton,03/05/2021,0,1.1,1140,14530,0,7.9,7845.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Franklin,08/25/2020,5,7.9,1494,155027,3.2,5.1,963.7,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Indiana,12/29/2020,41,24.7,3920,84073,48.8,29.4,4662.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Allegheny,04/20/2021,368,354.3,94815,1216045,30.3,29.1,7797,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Mercer,09/11/2020,17,8.7,640,109424,15.5,8,584.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Potter,08/23/2020,0,0.4,25,16526,0,2.6,151.3,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Westmoreland,10/03/2020,28,28.1,2445,348899,8,8.1,700.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Franklin,07/28/2020,8,17.3,1239,155027,5.2,11.2,799.2,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Lancaster,10/26/2020,66,65.3,9514,545724,12.1,12,1743.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lawrence,08/07/2020,5,7,389,85512,5.8,8.2,454.9,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Westmoreland,05/03/2021,78,77.6,32915,348899,22.4,22.2,9434,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lawrence,05/03/2020,0,0.1,67,85512,0,0.2,78.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Venango,08/11/2020,2,1,73,50668,3.9,2,144.1,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Monroe,09/12/2020,4,3.1,1772,170271,2.3,1.8,1040.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Lackawanna,08/17/2020,1,3.1,1982,209674,0.5,1.5,945.3,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Wayne,04/01/2021,13,12.9,3409,51361,25.3,25,6637.3,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Tioga,10/01/2020,1,2.3,91,40591,2.5,5.6,224.2,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Pennsylvania,02/22/2021,2840,2613.6,918891,12801989,22.2,20.4,7177.7,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clearfield,10/30/2020,9,8.7,533,79255,11.4,11,672.5,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Elk,11/11/2020,8,11.1,318,29910,26.7,37.3,1063.2,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Wayne,07/20/2020,0,1,149,51361,0,1.9,290.1,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Lackawanna,10/06/2020,23,25.1,2805,209674,11,12,1337.8,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Clinton,04/08/2021,12,10.3,3217,38632,31.1,26.6,8327.3,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Mercer,03/27/2021,9,9.9,8489,109424,8.2,9,7757.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Jefferson,05/03/2021,7,4.3,3219,43425,16.1,9.9,7412.8,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
McKean,05/01/2021,7,11.3,3508,40625,17.2,27.8,8635.1,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Mercer,07/17/2020,3,7.7,225,109424,2.7,7,205.6,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lehigh,04/05/2021,147,147,34976,369318,39.8,39.8,9470.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
